id,created_at,student_id,group_id,administer_logical,administer_linguistic,administer_spatial,administer_kinesthetic,administer_musical,administer_naturalistic,administer_interpersonal,administer_intrapersonal,administer_existential,difficulty_logical,difficulty_linguistic,difficulty_spatial,difficulty_kinesthetic,difficulty_musical,difficulty_naturalistic,difficulty_interpersonal,difficulty_intrapersonal,difficulty_existential,SSA_ids,upcoming_challenges,change_request_pending
54,1732900281825,735d5ea7-b8b1-43b0-801d-2cc23ea1d711,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,1,1,1,1,1,1,1,1,1,advanced,advanced,advanced,beginner,intermediate,intermediate,beginner,beginner,intermediate,[],"[""kinesthetic_beginner"",""intrapersonal_beginner"",""interpersonal_beginner"",""naturalistic_intermediate"",""linguistic_advanced"",""logical_advanced"",""musical_intermediate"",""spatial_advanced"",""existential_intermediate"",""kinesthetic_beginner"",""intrapersonal_beginner"",""interpersonal_beginner""]",
56,1732900903273,f4b5aefc-71cd-44c8-9eb0-f0b7b35df2fd,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,1,1,1,1,1,1,1,1,1,intermediate,intermediate,intermediate,intermediate,intermediate,beginner,intermediate,beginner,intermediate,"[""""]","[""naturalistic_beginner"",""linguistic_intermediate"",""logical_intermediate"",""intrapersonal_beginner"",""kinesthetic_intermediate"",""musical_intermediate"",""interpersonal_intermediate"",""spatial_intermediate"",""existential_intermediate"",""naturalistic_beginner"",""linguistic_intermediate"",""logical_intermediate""]",
58,1733358196281,47b644f2-0ed8-4cf3-8445-c7f2d9175359,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,1,1,1,1,1,1,1,1,1,advanced,advanced,advanced,beginner,advanced,beginner,intermediate,intermediate,advanced,"[""""]","[""intrapersonal_intermediate"",""logical_advanced"",""spatial_advanced"",""musical_advanced""]",
61,1733888161986,20f476ca-0c70-46b6-982e-179fbc382c69,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,1,1,1,1,1,1,1,1,1,intermediate,advanced,advanced,advanced,intermediate,beginner,intermediate,intermediate,advanced,"[""""]","[""linguistic_advanced"",""intrapersonal_intermediate"",""interpersonal_intermediate"",""spatial_advanced""]",
63,1734374705929,b75688c0-705d-4495-bc5c-34b5e28efb9b,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,1,1,1,1,1,1,,1,,advanced,advanced,intermediate,advanced,intermediate,beginner,beginner,advanced,beginner,"[""""]","[""logical_advanced"",""spatial_intermediate"",""musical_intermediate"",""kinesthetic_advanced""]",
66,0,e7d71536-a4eb-4896-82d5-c465fd3e535f,,,,,,,,,,,,,,,,,,,,"[""""]","[""spatial_beginner"",""logical_intermediate""]",
67,1734484008314,db57d37d-4092-4a19-a808-e03779c5a0ad,f898a8f7-b6c2-4ec8-804c-80db8f518da2,1,,,,1,,1,1,1,intermediate,intermediate,beginner,beginner,beginner,intermediate,advanced,intermediate,advanced,[],"[""intrapersonal_intermediate"",""interpersonal_advanced"",""existential_advanced"",""logical_intermediate""]",
68,0,f5969a27-76ee-47df-95f4-b9d8582d0b20,,,,,,,,,,,,,,,,,,,,"[""""]","[""spatial_beginner"",""logical_intermediate""]",
70,1734542508028,2d2bc8a6-8a89-4503-9ab7-e43a5e8dac7d,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,1,1,1,1,1,1,1,1,1,intermediate,advanced,advanced,beginner,intermediate,beginner,beginner,beginner,beginner,[],"[""linguistic_advanced"",""musical_intermediate"",""existential_beginner"",""spatial_advanced"",""logical_intermediate"",""kinesthetic_beginner"",""intrapersonal_beginner""]",
72,1734554096428,fd655275-4fcb-4a20-8917-2a11f3be74e8,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,1,1,1,1,,1,1,1,1,beginner,advanced,advanced,advanced,beginner,beginner,beginner,advanced,advanced,"[""""]","[""spatial_advanced"",""intrapersonal_advanced"",""existential_advanced"",""logical_beginner"",""naturalistic_beginner"",""interpersonal_beginner"",""linguistic_advanced""]",
73,1736811200388,8e6526ef-8fa3-46c9-9d72-47b949439e89,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,1,1,1,1,1,1,1,1,1,beginner,beginner,intermediate,beginner,beginner,beginner,beginner,beginner,intermediate,"[""""]","[""interpersonal_beginner"",""intrapersonal_beginner"",""kinesthetic_beginner"",""naturalistic_beginner""]",
74,1736812172554,62586640-9291-413c-ae34-d082ae53d3af,234268f1-0c6b-4652-9d80-27f5ec4a05e4,,1,1,,,,,1,1,advanced,advanced,advanced,intermediate,beginner,advanced,advanced,beginner,advanced,[],"[""spatial_advanced"",""existential_advanced"",""intrapersonal_beginner"",""linguistic_advanced""]",
75,1736814144478,79f7938a-f5d9-40ac-b2cd-12066453bbd8,234268f1-0c6b-4652-9d80-27f5ec4a05e4,,1,1,1,1,,1,1,1,advanced,intermediate,intermediate,advanced,advanced,advanced,advanced,advanced,advanced,[],"[""intrapersonal_advanced"",""interpersonal_advanced"",""existential_advanced"",""kinesthetic_advanced""]",
76,1736815368798,df3f61b0-8bd5-4c8c-a59a-d303aaba90d0,234268f1-0c6b-4652-9d80-27f5ec4a05e4,,,1,,1,,,1,1,beginner,beginner,beginner,intermediate,beginner,beginner,beginner,beginner,beginner,"[""""]","[""intrapersonal_beginner"",""spatial_beginner"",""musical_beginner"",""existential_beginner""]",
77,1736828308109,023fcb82-deee-43c2-ad0e-6ad91a15d36c,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,1,1,1,1,1,1,1,1,1,intermediate,beginner,beginner,intermediate,intermediate,intermediate,intermediate,advanced,beginner,[],"[""logical_intermediate"",""interpersonal_intermediate"",""naturalistic_intermediate"",""kinesthetic_intermediate""]",
80,1740766672514,fd70cb80-1277-4f82-8c2f-1b358682da88,08910f74-44d5-4cec-8864-dad6953bcb4d,1,1,1,1,,1,,1,1,beginner,advanced,advanced,intermediate,beginner,beginner,beginner,beginner,advanced,"[""""]","[""kinesthetic_intermediate"",""linguistic_advanced"",""logical_beginner"",""spatial_advanced""]",1
81,1741287899935,ed120f1b-7d64-4772-a3e1-ff354449de85,234268f1-0c6b-4652-9d80-27f5ec4a05e4,1,1,1,,1,,,1,,intermediate,beginner,advanced,intermediate,advanced,advanced,intermediate,intermediate,intermediate,[],"[""intrapersonal_intermediate"",""spatial_advanced"",""musical_advanced"",""linguistic_beginner""]",
83,0,f623348f-0bc0-40c0-b069-437abb85ac3b,,,,,,,,,,,,,,,,,,,,"[""""]",[],
84,1746730357803,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,234268f1-0c6b-4652-9d80-27f5ec4a05e4,1,,1,,1,,1,,,advanced,intermediate,intermediate,intermediate,advanced,beginner,advanced,advanced,beginner,"[""""]","[""interpersonal_advanced"",""musical_advanced"",""spatial_intermediate"",""logical_advanced""]",
